"word","meaning"
"Абстракция","Отвлечённое понятие, теоретическое обобщение опыта"
"Адаптация","Приспособление организма к изменяющимся внешним условиям"
"Активность","Динамичность"
"Алгоритм","Совокупность действий, правил для решения данной задачи"
"Амортизация","Постепенное снижение ценности имущества вследствие его изнашивания"
"Анализ","Всесторонний разбор, рассмотрение"
"Анонимность","Любое состояние, когда личность одного субъекта неизвестна другим"
"Архив","Учреждение, где хранятся документальные материалы"
"Аутентификация","Проверка принадлежности субъекту доступа предъявленного им идентификатора"
"Базис","То же, что база"
"Баланс","Соотношение взаимно связанных показателей какой-н деятельности, процесса"
"Блокировка","Блокировать"
"Век","Период в сто лет"
"Версия","Разновидность, вариант в изложении"
"Взаимодействие","Взаимная связь явлений"
"Внимание","Сосредоточенность мыслей или зрения, слуха на чем-н"
"Восприятие","Форма чувственного отражения действительности в сознании, способность обнаруживать, принимать, различатьусваивать явления внешнего мираформировать их образ"
"Вредоносность","Вредные для здоровья условия производства"
"Гарантия","Ручательство, порука в чем-н"
"Генератор","Общее название устройств, машин"
"Гибкий","Легко сгибаемый, упругий"
"Графика","Искусство изображения предметов контурными линиямиштрихами, без красок"
"Данный","Этот, именно этот Д случай"
"Динамика","Раздел механики, изучающий движение тел под действием приложенных к ним сил"
"Дискриминировать","Ограничить (-ивать) в правах, лишить (-шать) равноправия"
"Документ","Деловая бумага, подтверждающая какой-н факт или право на что-н"
"Инструкция","Свод правил, устанавливающих порядокспособ осуществления, выполнения чего-н"
"Интерес","Особое внимание к че-му-н, желание вникнуть в суть, узнать, понять"
"Идея","Понятие, представление, отражающее действительность в сознании человека, выражающее его отношение к нейявляющееся основным принципом мировоззрения"
"Исходный","Стартовый"
"Классификация","Представляющая соотношение между разными типами предметов, явлений внутри их системы в целом"
"Кодирование","Перевод информации в удобную для передачи, обработки или хранения форму с помощью некоторого кода"
"Коллекция","Систематизированное собрание каких-н предметов"
"Команда","Группа связанных чем-н людей"
"Контроллер","Приспособление, прибор для регулирования работы электродвигателей на транспорте"
"Коррекция","Корректировать"
"Логика","Наука о законахформах мышления"
"Модуль","В точных науках: название нек-рых коэффициентов, каких-н величин"
"Мотивация","Побуждение к действию"
"Нативный","Находящийся в природном состоянии, не модифицированный, сохранивший структуру"
"Невозможность","Невыполнимость чего-либо"
"Объект","Элемент действительности, взятый без связи со временем, вещь"
"Образование","Структура знаний, уменийнавыков человека, полученных в результате обученияпрактической деятельности"
"Операция","Способ лечения, основанный на непосредственном механическом воздействии на ткани организма"
"Оптимизация","процесс, имеющий целью направить развитие какого-либо объекта или метода к лучшему состоянию"
"Организация","Общественное объединение или государственное учреждение"
